slug,type,artist_slugs,releaseDate,originalTitle,originalLanguage,ja_title,ko_title,en_title,labelName
dream-believers,ep,hasunosora,2023-03-29,Dream Believers,jp,,,,Lantis
reflection-in-the-mirror,single,cerise-bouquet,2023-04-26,Reflection in the mirror,jp,,,,Lantis
sparkly-spot,single,dollchestra,2023-04-26,Sparkly Spot,jp,,,,Lantis
holiday-holiday-tragic-drops,single,cerise-bouquet dollchestra,2023-06-14,Holiday∞Holiday / Tragic Drops,jp,,,,Lantis
genyou-yakou,single,cerise-bouquet,2023-08-09,眩耀夜行,jp,,현요야행,Genyou Yakou,Lantis
mirage-voyage,single,dollchestra,2023-08-09,Mirage Voyage,jp,,,,Lantis
natsumeki-pain,album,hasunosora,2023-09-20,夏めきペイン,jp,,나츠메키 페인,Natsumeki Pain,Lantis
sugao-no-pixel,single,cerise-bouquet,2023-11-15,素顔のピクセル,jp,,맨얼굴의 픽셀,Sugao no Pixel,Lantis
take-it-over,single,dollchestra,2023-11-22,Take It Over,jp,,,,Lantis
identity,single,mira-cra-park,2023-11-29,アイデンティティ,jp,,아이덴티티,Identity,Lantis
link-to-the-future,single,hasunosora,2024-01-17,Link to the FUTURE,jp,,,,Lantis
special-thanks-ao-to-shabon-milk,single,cerise-bouquet dollchestra mira-cra-park,2024-02-14,Special Thanks / 青とシャボン / ミルク,jp,,Special Thanks / 푸름과 비눗방울 / 밀크,Special Thanks /Ao to Shabon / Milk,Lantis
colorfulness-happy-shijoushugi-pleasure-feather,single,hasunosora,2024-03-20,Colorfulness / ハッピー至上主義！ / Pleasure Feather,jp,,Colorfulness / 해피지상주의! / Pleasure Feather,Colorfulness / Happy Shijou Shugi! / Pleasure Feather,Lantis
ishin-denshin,single,mira-cra-park,2024-03-27,以心☆電信,jp,,이심☆전신,Ishin☆Denshin,Lantis
dakishimeru-hanabira,single,hasunosora,2024-04-03,抱きしめる花びら,jp,,끌어안아 주는 꽃잎,Dakishimeru Hanabira,Lantis
dream-believers-104,ep,hasunosora,2024-04-17,Dream Believers (104期 Ver.),jp,,Dream Believers (104기 Ver.),Dream Believers (104th Ver.),Lantis
bloom-the-smile-bloom-the-dream,single,hasunosora,2024-07-17,"Bloom the smile, Bloom the dream!",jp,,,,Lantis
tsukuyomi-kurage,single,cerise-bouquet,2024-09-04,月夜見海月,jp,,달밤을 보는 해파리,Tsukuyomi Kurage,Lantis
proof,single,dollchestra,2024-09-11,Proof,jp,,,,Lantis
bring-the-love,single,,2024-09-20,Bring the LOVE！,jp,,,,Lantis
fanfare,single,mira-cra-park,2024-10-02,ファンファーレ！！！,jp,,팡파레!!!,Fanfare!!!,Lantis
hanamusubi-baadcage-joushoukiryuu,single,cerise-bouquet dollchestra mira-cra-park,2024-12-04,ハナムスビ / バアドケージ / ジョーショーキリュー,jp,,하나무스비 / 버드케이지 / 상승기류,Hanamusubi / Birdcage / Joushou Kiryuu,Lantis
key-of-like,single,hasunosora,2025-02-05,KEY of Like！,jp,,,,Lantis
aurora-flower,single,hasunosora,2025-02-26,AURORA FLOWER,jp,,,,Lantis
