character_slug,character_type,ja_name,ja_shortName,ko_name,ko_shortName,en_name,en_shortName,color,artist_slugs,va_ja_name,va_ko_name,va_en_name,startDate,endDate,note
hinoshita-kaho,character,日野下花帆,花帆,히노시타 카호,카호,Kaho Hinoshita,Kaho,#f8b500,hasunosora cerise-bouquet kaho-megu-gelato prince-epsilon,楡井希実,니레이 노조미,Nozomi Nirei,2023-03-29,2026-03-31,
murano-sayaka,character,村野さやか,さやか,무라노 사야카,사야카,Sayaka Murano,Sayaka,#5383c3,hasunosora dollchestra hasuno-kyuujitsu ruri-to,野中ここな,노나카 코코나,Kokona Nonaka,2023-03-29,2026-03-31,
otomune-kozue,character,乙宗梢,梢,오토무네 코즈에,코즈에,Kozue Otomune,Kozue,#68be8d,hasunosora cerise-bouquet hasuno-kyuujitsu,花宮初奈,하나미야 니나,Nina Hanamiya,2023-03-29,2025-03-31,
yugiri-tsuzuri,character,夕霧綴理,綴理,유기리 츠즈리,츠즈리,Tsuzuri Yugiri,Tsuzuri,#ba2636,hasunosora dollchestra rurino-to-yukai-na-tsuzuri-tachi,佐々木琴子,사사키 코토코,Kotoko Sasaki,2023-03-29,2025-03-31,
osawa-rurino,character,大沢瑠璃乃,璃乃,오사와 루리노,루리노,Rurino Osawa,Rurino,#e7609e,hasunosora mira-cra-park rurino-to-yukai-na-tsuzuri-tachi ruri-to,菅かん叶和,칸 칸나,Kanna Kan,2023-03-29,2026-03-31,
fujishima-megumi,character,藤島慈,慈,후지시마 메구미,메구미,Megumi Fujishima,Megumi,#c8c2c6,hasunosora mira-cra-park kaho-megu-gelato,月音こな,츠키네 코나,Kona Tsukine,2023-03-29,2025-03-31,
momose-ginko,character,百生吟子,吟子,모모세 긴코,긴코,Ginko Momose,Ginko,#a2d7dd,hasunosora cerise-bouquet prince-epsilon,櫻井陽菜,사쿠라이 히나,Hina Sakurai,2024-04-01,,
kachimachi-kosuzu,character,徒町小鈴,小鈴,카치마치 코스즈,코스즈,Kosuzu Kachimachi,Kosuzu,#fad764,hasunosora dollchestra ruri-to,葉山風花,하야마 후카,Fuka Hayama,2024-04-01,,
anyoji-hime,character,安養寺姫芽 ,姫芽,안요지 히메,히메,Hime Anyoji,Hime,#9d8de2,hasunosora mira-cra-park prince-epsilon,来栖りん,쿠루스 린,Rin Kurusu,2024-04-01,,
katsuragi-izumi,character,桂城泉,泉,카츠라기 이즈미,이즈미,Izumi Katsuragi ,Izume,#1ebecd,hasunosora edel-note prince-epsilon,進藤あまね,신도 아마네,Amane Shindou,2025-04-01,,
ceras-yanagida,character,セラス柳田リリエンフェルト,セラス,세라스 야나기다 릴리엔펠트,세라스,Ceras Yanagida Lilienfeld,Ceras,#f56455,hasunosora edel-note ruri-to,三宅美羽,미야케 미우,Miu Miyake,2025-04-01,,
