slug,originalTitle,originalLanguage,artist_slugs,releaseDate,variantLabel,baseVersion_slug,ja_title,ja_variantLabel,ko_title,ko_variantLabel,en_title,en_variantLabel,sourceNote,album_slug,disc_number,track_number
dream-believers,Dream Believers,ja,hasunosora,2023-03-29,,,,,,,,,,dream-believers,,1
on-your-mark,On your mark,ja,hasunosora,2023-03-29,,,,,,,,,,dream-believers,,2
suisai-sekai,水彩世界,ja,cerise-bouquet,2023-03-29,,,,,수채세계,,Suisai Sekai,,,dream-believers,,3
awoke,AWOKE,ja,dollchestra,2023-03-29,,,,,,,,,,dream-believers,,4
do-do-do,ド！ド！ド！,ja,mira-cra-park,2023-03-29,,,,,도! 도! 도!,,Do! Do! Do!,,,dream-believers,,5
eien-no-euporia,永遠のEuphoria,ja,hasunosora,2023-03-29,,,,,영원의 Euphoria,,Eien No Euporia,,,dream-believers,,6
reflection-in-the-mirror,Reflection in the mirror,ja,cerise-bouquet,2023-04-26,,,,,,,,,,reflection-in-the-mirror,,1
fortune-movie,フォーチュンムービー,ja,cerise-bouquet,2023-04-26,,,,,포춘 무비,,Fortune Movie,,,reflection-in-the-mirror,,2
mix-shake,Mix shake!!,ja,cerise-bouquet,2023-04-26,,,,,,,,,,reflection-in-the-mirror,,3
sparkly-spot,Sparkly Spot,ja,dollchestra,2023-04-26,,,,,,,,,,sparkly-spot,,1
tsukimakase,ツキマカセ,ja,dollchestra,2023-04-26,,,,,츠키마카세,,Tsukimakase,,,sparkly-spot,,2
kibouteki-prism,希望的プリズム,ja,dollchestra,2023-04-26,,,,,희망적프리즘,,Kibouteki Prism,,,sparkly-spot,,3
ouka-ranman,謳歌爛漫,ja,cerise-bouquet,2023-06-14,,,,,구가난만,,Ouka Ranman,,,holiday-holiday-tragic-drops,,1
scape-goat,スケイプゴート,ja,dollchestra,2023-06-14,,,,,희생양,,Scapegoat,,,holiday-holiday-tragic-drops,,2
holiday-holiday,Holiday∞Holiday,ja,cerise-bouquet,2023-06-14,,,,,,,,,,holiday-holiday-tragic-drops,,3
tragic-drops,Tragic Drops,ja,dollchestra,2023-06-14,,,,,,,,,,holiday-holiday-tragic-drops,,4
deepness,DEEPNESS,ja,hasunosora,2023-08-09,,,,,,,,,,genyou-yakou,,1
kawaii-no-susume,Kawaii no susume,ja,cerise-bouquet,2023-08-09,,,,,,,,,,genyou-yakou,,2
genyou-yakou,眩耀夜行,ja,cerise-bouquet,2023-08-09,,,,,현요야행,,Genyou Yakou,,,genyou-yakou,,3
deepness,DEEPNESS,ja,hasunosora,2023-08-09,,,,,,,,,,mirage-voyage,,1
jibun-diary,ジブンダイアリー,ja,dollchestra,2023-08-09,,,,,자신 다이어리,,Jibun Diary,,,mirage-voyage,,2
mirage-voyage,Mirage Voyage,ja,dollchestra,2023-08-09,,,,,,,,,,mirage-voyage,,3
natsumeki-pain,夏めきペイン,ja,hasunosora,2023-09-20,,,,,나츠메키 페인,,Natsumeki Pain,,,natsumeki-pain,,1
yup-yup-yup,Yup! Yup! Yup!,ja,hasunosora,2023-09-20,,,,,,,,,,natsumeki-pain,,2
kokon-touzai,ココン東西,ja,mira-cra-park,2023-09-20,,,,,고금동서,,Kokon Touzai,,,natsumeki-pain,,3
zanyou,残陽,ja,cerise-bouquet,2023-09-20,,,,,잔양,,Zanyou,,,natsumeki-pain,,4
seishun-no-rinkaku,青春の輪郭,ja,dollchestra,2023-09-20,,,,,청춘의 윤곽,,Seishun no Rinkaku,,,natsumeki-pain,,5
Hakuchuu-a-la-mode,ハクチューアラモード,ja,mira-cra-park,2023-09-20,,,,,백중 아라모드,,Hakuchuu à la Mode,,,natsumeki-pain,,6
dear-my-future,Dear my future,ja,cerise-bouquet,2023-09-20,,,,,,,,,,natsumeki-pain,,7
parallel-dancer,パラレルダンサー,ja,dollchestra,2023-09-20,,,,,패러렐 댄서,,Parallel Dancer,,,natsumeki-pain,,8
asu-no-sora-no-bokutachi-e,明日の空の僕たちへ,ja,hasunosora,2023-09-20,,,,,내일의 하늘의 우리들에게,,Asu no Sora no Bokutachi e,,,natsumeki-pain,,9
legato,Legato,ja,hasunosora,2023-09-20,,,,,,,,,,natsumeki-pain,,10
sugao-no-pixel,素顔のピクセル,ja,cerise-bouquet,2023-11-15,,,,,맨얼굴의 픽셀,,Sugao no Pixel,,,sugao-no-pixel,,1
sugar-melt,シュガーメルト,ja,cerise-bouquet,2023-11-15,,,,,슈가 멜트,,Sugar Melt,,,sugao-no-pixel,,2
senpen-banka,千変万華,ja,cerise-bouquet,2023-11-15,,,,,천변만화,,Senpen Banka,,,sugao-no-pixel,,3
take-it-over,Take It Over,ja,dollchestra,2023-11-22,,,,,,,,,,take-it-over,,1
ameiro,飴色,ja,dollchestra,2023-11-22,,,,,아메이로,,Ameiro,,,take-it-over,,2
knot,KNOT,ja,dollchestra,2023-11-22,,,,,,,,,,take-it-over,,3
identity,アイデンティティ,ja,mira-cra-park,2023-11-19,,,,,아이덴티티,,Identity,,,identity,,1
tensai-nano-kamo-shirenai,天才なのかもしれない,ja,mira-cra-park,2023-11-19,,,,,천재일지도 몰라,,Tensai Nano Kamo Shirenai,,,identity,,2
nonfiction-hero-show,ノンフィクションヒーローショー,ja,mira-cra-park,2023-11-19,,,,,논픽션 히어로 쇼,,Nonfiction Hero Show,,,identity,,3
trick-cute,Trick ＆ Cute,ja,hasunosora,2024-01-07,,,,,,,,,,link-to-the-future,,1
tsubasa-la-liberte,ツバサ・ラ・リベル,ja,hasunosora,2024-01-07,,,,,츠바사 라 리베르테,,Tsubasa La Liberte,,,link-to-the-future,,2
link-to-the-future,Link to the FUTURE,ja,cerise-bouquet dollchestra mira-cra-park,2024-01-07,,,,,,,,,,link-to-the-future,,3
special-thanks,Special Thanks,ja,cerise-bouquet,2024-02-14,,,,,,,,,,special-thanks-ao-to-shabon-milk,,1
ao-to-shabon,青とシャボン,ja,dollchestra,2024-02-14,,,,,푸름과 비눗방울,,Ao to Shabon,,,special-thanks-ao-to-shabon-milk,,2
milk,ミルク,ja,mira-cra-park,2024-02-14,,,,,밀크,,Milk,,,special-thanks-ao-to-shabon-milk,,3
colorfulness,Colorfulness,ja,rurino-to-yukai-na-tsuzuri-tachi,2024-03-20,,,,,,,,,,colorfulness-happy-shijoushugi-pleasure-feather,,1
happy-shijou-shugi,ハッピー至上主義！,ja,kaho-megu-gelato,2024-03-20,,,,,해피지상주의!,,Happy Shijou Shugi!,,,colorfulness-happy-shijoushugi-pleasure-feather,,2
pleasure-feather,Pleasure Feather,ja,hasuno-kyuujitsu,2024-03-20,,,,,,,,,,colorfulness-happy-shijoushugi-pleasure-feather,,3
ishin-denshin,以心☆電信,ja,mira-cra-park,2024-03-27,,,,,이심☆전신,,Ishin☆Denshin,,,ishin-denshin,,1
bang-you-gravity,BANG YOU グラビティ,ja,mira-cra-park,2024-03-27,,,,,BANG YOU 그래비티,,BANG YOU Gravity,,,ishin-denshin,,2
mahara-jamboree,マハラジャンボリー,ja,mira-cra-park,2024-03-27,,,,,마하라 잼버리,,Mahara Jamboree,,,ishin-denshin,,3
dakishimeru-hanabira,抱きしめる花びら,ja,hasunosora,2024-04-03,,,,,끌어안아 주는 꽃잎,,Dakishimeru Hanabira,,,dakishimeru-hanabira,,1
step-up,STEP UP !,ja,hasunosora,2024-04-03,,,,,,,,,,dakishimeru-hanabira,,2
dream-believers-104,Dream Believers,ja,hasunosora,2024-04-17,104期 Ver.,dream-believers,,,Dream Believers,104기 Ver.,Dream Believers,104th Ver.,,dream-believers-104,,1
on-your-mark-104,On your mark,ja,hasunosora,2024-04-17,104期 Ver.,on-your-mark,,,On your mark,104기 Ver.,On your mark,104th Ver.,,dream-believers-104,,2
aoku-haruka,アオクハルカ,ja,cerise-bouquet,2024-04-17,,,,,파랗게 아득히,,Aoku Haruka,,,dream-believers-104,,3
ladybug,レディバグ,ja,dollchestra,2024-04-17,,,,,레이디버그,,Ladybug,,,dream-believers-104,,4
miracreation,みらくりえーしょん,ja,mira-cra-park,2024-04-17,,,,,미라크리에이션,,Mira-Creation,,,dream-believers-104,,5
eien-no-euporia-104,永遠のEuphoria,ja,hasunosora,2024-04-17,104期 Ver.,eien-no-euporia,,,영원의 Euphoria,104기 Ver.,Eien no Euphoria,104th Ver.,,dream-believers-104,,6
bloom-the-smile-bloom-the-dream,"Bloom the smile, Bloom the dream!",ja,hasunosora,2024-07-17,,-,,,,,,,,bloom-the-smile-bloom-the-dream,,1
365-days,365 Days,ja,hasunosora,2024-07-17,,,,,,,,,,bloom-the-smile-bloom-the-dream,,2
tsukuyomi-kurage,月夜見海月,ja,cerise-bouquet,2024-09-04,,,,,달밤을 보는 해파리,,Tsukuyomi Kurage,,,tsukuyomi-kurage,,1
